lunedi;martedi;mercoledi;giovedi;venerdi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Grontardo, Roma, 16;Capergnanica, XI febbraio, 7;Persico Dosimo, Albert ,7;Castelverde, Ubaldo Ferrari, 15;Crema, Civerchi, 9
Paderno Ponchielli, Municipio, 3;Bagnolo Cremasco, Roma, 3;Manerbio, INSURREZIONE NAZIONALE;Bonemerse, Roma, 25;Offanengo, Clavelli Martini, 5
Izano, Gerardo da Izano, 4/C;Agnadello, Marconi, 6;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Scandolara Ravara, Italia;Soresina, Giacomo Matteotti, 6
Pianengo, Nenni;Capralba, Piave, 2;Vescovato, Roma, 44;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Annicco, Giuseppe Garibaldi, 6
Casaletto Vaprio, Maggiore, 7;Casale Cremasco-Vidolasco, Roma, 56;Sospiro, Tosi;Ostiano, Mazzini, 1;Manerbio, INSURREZIONE NAZIONALE
Crema, Civerchi, 9;Camisano, Trieste, 57;Solarolo Rainerio, Giuseppina, 81;;Cremona, Ugolani Dati, 4
San Bassano, Mons. Frosi;Fiesco, Giuseppe Parini, 10;San Giovanni in Croce, Feudatari, 25 A;;Persico Dosimo, Albert ,7
Cremona, Sesto 39;Trigolo, Roma, 26;Casalmaggiore, Guglielmo Marconi, 8;;Gadesco-Pieve Delmona, Giovanni Lonati 9
Cremona, Felice Cavallotti, 2;Soresina, Giacomo Matteotti, 6;Piadena, Platina, 40;;Cingia de' Botti, Giuseppina, 79
Cremona, Ugolani Dati, 4;Grumello Cremonese ed Uniti, Roma, 2;Ostiano, Mazzini, 1;;Casalmaggiore, Guglielmo Marconi, 8
Cremona, Palosca n. 2;Sesto ed Uniti, Roma, 4;Ostiano, Mazzini, 1;;San Giovanni in Croce, Feudatari, 25 A
Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;;;Solarolo Rainerio, Giuseppina, 81
Martignana di Po, Libertà, 64;Ostiano, Mazzini, 1;;;Piadena, Platina, 40
Viadana, A. Manzoni, 2;;;;Vescovato, Roma, 44
Ostiano, Mazzini, 1;;;;Pescarolo ed Uniti, Giuseppe Mazzini, 73
Ostiano, Mazzini, 1;;;;Ostiano, Mazzini, 1
