lunedi;martedi;mercoledi;giovedi;venerdi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Cremona, Sesto 39;Grumello Cremonese ed Uniti, Roma, 2;Spino d'Adda, Circonvallazione, 13;Castelverde, Ubaldo Ferrari, 15;Crema, Civerchi, 9
Ostiano, Mazzini, 1;Crema, Civerchi, 9;Pandino, Castello, 15;Casalbuttano ed Uniti, Jacini, 23;Offanengo, Clavelli Martini, 5
Ostiano, Mazzini, 1;Rivolta d'Adda, Stefano Renzi, 5;Rivolta d'Adda, Stefano Renzi, 5;Paderno Ponchielli, Municipio, 3;Soncino, Dante Alighieri, 23
;Agnadello, Marconi, 6;Capergnanica, XI febbraio, 7;Soresina, Giacomo Matteotti, 6;Sergnano, IV Novembre,  10
;Pandino, Castello, 15;Crema, Civerchi, 9;Annicco, Giuseppe Garibaldi, 6;Pianengo, Nenni
;Casaletto Vaprio, Maggiore, 7;Manerbio, INSURREZIONE NAZIONALE;Pizzighettone, Giuseppe Garibaldi, 18;Casale Cremasco-Vidolasco, Roma, 56
;Capralba, Piave, 2;Gadesco-Pieve Delmona, Giovanni Lonati 9;San Bassano, Mons. Frosi;Camisano, Trieste, 57
;Vailate, Dante Alighieri, 7;Persico Dosimo, Albert ,7;Castelleone, Roma, 67;Manerbio, INSURREZIONE NAZIONALE
;Trescore Cremasco, Vittorio Veneto, 1;Grontardo, Roma, 16;Madignano, Portici, 4;Pescarolo ed Uniti, Giuseppe Mazzini, 73
;Palazzo Pignano, Marco Polo, 31;Ostiano, Mazzini, 1;Crema, Civerchi, 9;Ostiano, Mazzini, 1
;Vaiano Cremasco,  Gloriosi Caduti, 3;Ostiano, Mazzini, 1;Izano, Gerardo da Izano, 4/C;
;Bagnolo Cremasco, Roma, 3;;Fiesco, Giuseppe Parini, 10;
;Monte Cremasco, Roma, 12;;Ricengo, Guglielmo Marconi;
;Dovera, Oldrini 2;;Offanengo, Clavelli Martini, 5;
;Spino d'Adda, Circonvallazione, 13;;Soncino, Dante Alighieri, 23;
;Montodine,  XXV Aprile, 10;;Romanengo, Guaiarini, 14;
;Soresina, Giacomo Matteotti, 6;;San Giovanni in Croce, Feudatari, 25 A;
;Trigolo, Roma, 26;;Martignana di Po, Libertà, 64;
;Castelleone, Roma, 67;;Gussola, Comaschi, 1;
;Ripalta Cremasca, Roma, 5;;Casalmaggiore, Guglielmo Marconi, 8;
;Pizzighettone, Giuseppe Garibaldi, 18;;Piadena, Platina, 40;
;Casalpusterlengo, Pusterla 7;;Pescarolo ed Uniti, Giuseppe Mazzini, 73;
;Sesto ed Uniti, Roma, 4;;Vescovato, Roma, 44;
;Cremona, Ugolani Dati, 4;;Ostiano, Mazzini, 1;
;Sospiro, Tosi;;;
;Bonemerse, Roma, 25;;;
;Cremona, Palosca n. 2;;;
;Persico Dosimo, Albert ,7;;;
;Gadesco-Pieve Delmona, Giovanni Lonati 9;;;
;Vescovato, Roma, 44;;;
;Isola Dovarese, Giacomo Matteotti, 1;;;
;Piadena, Platina, 40;;;
;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;;;
;Viadana, A. Manzoni, 2;;;
;Casalmaggiore, Guglielmo Marconi, 8;;;
;Scandolara Ravara, Italia;;;
;San Giovanni in Croce, Feudatari, 25 A;;;
;Ostiano, Mazzini, 1;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
