lunedi;martedi;mercoledi;giovedi;venerdi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Cremona, Ugolani Dati, 4;Cremona, Sesto 39;Bonemerse, Roma, 25;Cremona, Ugolani Dati, 4;Castelverde, Ubaldo Ferrari, 15
Gadesco-Pieve Delmona, Giovanni Lonati 9;Persico Dosimo, Albert ,7;Solarolo Rainerio, Giuseppina, 81;Vescovato, Roma, 44;Cremona, Ugolani Dati, 4
Cingia de' Botti, Giuseppina, 79;Sesto ed Uniti, Roma, 4;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Vescovato, Roma, 44
Martignana di Po, Libertà, 64;Pizzighettone, Giuseppe Garibaldi, 18;Ostiano, Mazzini, 1;Trigolo, Roma, 26;Ostiano, Mazzini, 1
Viadana, A. Manzoni, 2;Montodine,  XXV Aprile, 10;;Romanengo, Guaiarini, 14;Piadena, Platina, 40
Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Capergnanica, XI febbraio, 7;;Crema, Civerchi, 9;Solarolo Rainerio, Giuseppina, 81
Annicco, Giuseppe Garibaldi, 6;Crema, Civerchi, 9;;Trescore Cremasco, Vittorio Veneto, 1;Casalmaggiore, Guglielmo Marconi, 8
Castelleone, Roma, 67;Ostiano, Mazzini, 1;;Rivolta d'Adda, Stefano Renzi, 5;Manerbio, INSURREZIONE NAZIONALE
Madignano, Portici, 4;;;Spino d'Adda, Circonvallazione, 13;Soncino, Dante Alighieri, 23
Offanengo, Clavelli Martini, 5;;;Ostiano, Mazzini, 1;Izano, Gerardo da Izano, 4/C
Ricengo, Guglielmo Marconi;;;;Crema, Civerchi, 9
Camisano, Trieste, 57;;;;Pianengo, Nenni
Palazzo Pignano, Marco Polo, 31;;;;Bagnolo Cremasco, Roma, 3
Monte Cremasco, Roma, 12;;;;Rivolta d'Adda, Stefano Renzi, 5
Agnadello, Marconi, 6;;;;Spino d'Adda, Circonvallazione, 13
Dovera, Oldrini 2;;;;Casalpusterlengo, Pusterla 7
Ostiano, Mazzini, 1;;;;Ostiano, Mazzini, 1
