lunedi;martedi;mercoledi;giovedi;venerdi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Sesto ed Uniti, Roma, 4;Castelverde, Ubaldo Ferrari, 15;Casalpusterlengo, Pusterla 7;Persico Dosimo, Albert ,7;Madignano, Portici, 4
Pizzighettone, Giuseppe Garibaldi, 18;Casalbuttano ed Uniti, Jacini, 23;Pizzighettone, Giuseppe Garibaldi, 18;Gadesco-Pieve Delmona, Giovanni Lonati 9;Castelleone, Roma, 67
Casalpusterlengo, Pusterla 7;Soresina, Giacomo Matteotti, 6;Crema, Civerchi, 9;Vescovato, Roma, 44;Ripalta Cremasca, Roma, 5
Grumello Cremonese ed Uniti, Roma, 2;San Bassano, Mons. Frosi;Spino d'Adda, Circonvallazione, 13;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Capergnanica, XI febbraio, 7
Paderno Ponchielli, Municipio, 3;Trigolo, Roma, 26;Rivolta d'Adda, Stefano Renzi, 5;San Giovanni in Croce, Feudatari, 25 A;Crema, Civerchi, 9
Annicco, Giuseppe Garibaldi, 6;Fiesco, Giuseppe Parini, 10;Vaiano Cremasco,  Gloriosi Caduti, 3;Ostiano, Mazzini, 1;Pizzighettone, Giuseppe Garibaldi, 18
Crema, Civerchi, 9;Offanengo, Clavelli Martini, 5;Pandino, Castello, 15;Ostiano, Mazzini, 1;Cremona, Felice Cavallotti, 2
Pianengo, Nenni;Ricengo, Guglielmo Marconi;Sergnano, IV Novembre,  10;;Cremona, Ugolani Dati, 4
Capralba, Piave, 2;Crema, Civerchi, 9;Casale Cremasco-Vidolasco, Roma, 56;;Manerbio, INSURREZIONE NAZIONALE
Vailate, Dante Alighieri, 7;Persico Dosimo, Albert ,7;Camisano, Trieste, 57;;Ostiano, Mazzini, 1
Trescore Cremasco, Vittorio Veneto, 1;Cremona, Ugolani Dati, 4;Offanengo, Clavelli Martini, 5;;
Bagnolo Cremasco, Roma, 3;Gadesco-Pieve Delmona, Giovanni Lonati 9;Soncino, Dante Alighieri, 23;;
Monte Cremasco, Roma, 12;Vescovato, Roma, 44;Romanengo, Guaiarini, 14;;
Dovera, Oldrini 2;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Izano, Gerardo da Izano, 4/C;;
Spino d'Adda, Circonvallazione, 13;San Giovanni in Croce, Feudatari, 25 A;Montodine,  XXV Aprile, 10;;
Palazzo Pignano, Marco Polo, 31;Casalmaggiore, Guglielmo Marconi, 8;Castelleone, Roma, 67;;
Agnadello, Marconi, 6;Solarolo Rainerio, Giuseppina, 81;Manerbio, INSURREZIONE NAZIONALE;;
Rivolta d'Adda, Stefano Renzi, 5;Piadena, Platina, 40;Ostiano, Mazzini, 1;;
Pandino, Castello, 15;Isola Dovarese, Giacomo Matteotti, 1;;;
Casaletto Vaprio, Maggiore, 7;Ostiano, Mazzini, 1;;;
Soncino, Dante Alighieri, 23;;;;
Soresina, Giacomo Matteotti, 6;;;;
Grontardo, Roma, 16;;;;
Ostiano, Mazzini, 1;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
