;Ripalta Cremasca, Roma, 5;Camisano, Trieste, 57;Agnadello, Marconi, 6;Vescovato, Roma, 44;Ricengo, Guglielmo Marconi;Pianengo, Nenni;Martignana di Po, Libertà, 64;Montodine,  XXV Aprile, 10;Bonemerse, Roma, 25;Trigolo, Roma, 26;Capergnanica, XI febbraio, 7;Casalbuttano ed Uniti, Jacini, 23;Ostiano, Mazzini, 1;Fiesco, Giuseppe Parini, 10;Spino d'Adda, Circonvallazione, 13;Capralba, Piave, 2;Soresina, Giacomo Matteotti, 6;Persico Dosimo, Albert ,7;Casaletto Vaprio, Maggiore, 7;Cremona, Palosca n. 2;Cremona, Ugolani Dati, 4;Casale Cremasco-Vidolasco, Roma, 56;Sospiro, Tosi;Gussola, Comaschi, 1;Bagnolo Cremasco, Roma, 3;Casalmaggiore, Guglielmo Marconi, 8;Piadena, Platina, 40;Izano, Gerardo da Izano, 4/C;Cremona, Ugolani Dati, 4;Isola Dovarese, Giacomo Matteotti, 1;Palazzo Pignano, Marco Polo, 31;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Offanengo, Clavelli Martini, 5;San Giovanni in Croce, Feudatari, 25 A;Paderno Ponchielli, Municipio, 3;Cremona, Felice Cavallotti, 2;Castelverde, Ubaldo Ferrari, 15;Romanengo, Guaiarini, 14;Rivolta d'Adda, Stefano Renzi, 5;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Dovera, Oldrini 2;Sergnano, IV Novembre,  10;Manerbio, INSURREZIONE NAZIONALE;Monte Cremasco, Roma, 12;Grumello Cremonese ed Uniti, Roma, 2;Madignano, Portici, 4;Cremona, Ugolani Dati, 4;Vaiano Cremasco,  Gloriosi Caduti, 3;San Bassano, Mons. Frosi;Grontardo, Roma, 16;Soncino, Dante Alighieri, 23;Annicco, Giuseppe Garibaldi, 6;Cremona, Sesto 39;Crema, Civerchi, 9;Vailate, Dante Alighieri, 7;Pizzighettone, Giuseppe Garibaldi, 18;Gadesco-Pieve Delmona, Giovanni Lonati 9;Cingia de' Botti, Giuseppina, 79;Trescore Cremasco, Vittorio Veneto, 1;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Castelleone, Roma, 67;Pandino, Castello, 15
Ripalta Cremasca, Roma, 5;15;1;5;2;2;4;1;3;1;3;6;1;0;4;5;4;9;10;0;0;1;1;10;1;8;5;2;0;1;6;8;3;32;9;0;2;0;3;7;2;1;6;130;8;0;9;1;2;0;1;18;0;3;114;0;4;2;3;29;0;3;12;14
Ostiano, Mazzini, 1;10;2;11;4;5;2;1;16;1;2;4;4;1;2;7;6;11;8;0;1;2;0;15;4;7;5;8;0;2;11;1;1;36;15;0;0;1;0;7;18;4;1;73;8;0;12;2;3;0;2;16;0;11;124;0;2;3;5;6;0;3;11;24
Vescovato, Roma, 44;20;8;24;34;29;26;2;22;21;2;13;7;4;4;35;19;56;25;0;0;1;0;41;14;26;28;20;0;1;16;11;5;87;24;0;3;5;17;45;38;11;11;255;36;2;55;1;4;0;9;81;1;25;319;1;14;4;16;13;1;14;41;84
Pianengo, Nenni;30;1;23;14;24;58;1;13;11;5;10;1;0;16;14;13;31;18;0;0;7;1;22;8;14;9;10;6;7;8;11;2;97;20;1;3;5;10;15;16;16;13;149;39;3;35;7;9;0;0;56;2;14;248;0;4;2;7;23;2;8;35;55
Ricengo, Guglielmo Marconi;23;2;17;4;20;9;1;12;4;2;7;1;0;9;12;13;21;7;2;0;2;1;14;6;11;6;10;2;2;5;4;2;48;10;2;0;2;2;16;11;6;8;126;24;1;31;2;6;0;0;30;2;9;152;0;8;1;2;12;0;10;18;30
Castelverde, Ubaldo Ferrari, 15;2;0;5;9;5;7;1;2;6;1;1;1;1;2;7;2;19;8;0;2;1;0;8;2;5;13;8;0;1;10;5;0;17;7;0;2;7;1;8;4;5;7;125;3;1;5;1;3;0;1;25;0;7;117;0;5;0;2;2;4;1;12;11
Martignana di Po, Libertà, 64;25;4;15;9;11;11;17;18;7;0;10;0;2;1;15;15;25;15;1;0;2;1;18;3;9;14;11;0;2;8;5;1;59;22;0;1;2;10;12;16;11;4;179;16;1;32;2;4;0;4;31;2;18;217;0;7;7;12;12;2;6;23;32
Montodine,  XXV Aprile, 10;13;0;6;5;1;3;1;24;2;1;2;3;0;3;3;2;13;3;0;0;3;0;11;1;4;2;2;1;3;1;2;0;19;1;0;0;1;3;6;4;5;3;59;8;2;5;3;2;0;0;10;1;4;62;0;2;0;7;2;0;1;4;10
Trigolo, Roma, 26;12;1;16;1;4;6;1;11;9;18;3;1;0;4;4;8;21;9;0;0;2;0;11;0;4;4;11;3;2;4;4;1;36;0;1;0;1;3;5;12;4;4;33;17;2;16;2;1;0;1;18;1;7;100;0;2;1;2;2;1;0;15;12
Casalbuttano ed Uniti, Jacini, 23;5;1;6;2;5;2;1;4;2;1;3;10;0;2;3;1;11;0;0;0;1;1;1;4;6;1;3;0;1;1;2;0;14;7;0;2;1;2;6;6;2;2;17;11;0;4;1;3;0;0;7;2;2;49;0;2;1;1;1;2;2;3;10
Agnadello, Marconi, 6;31;4;327;7;21;26;3;14;4;3;8;0;1;11;13;18;54;17;1;1;1;2;24;9;13;9;17;1;1;13;15;0;96;19;0;3;4;6;20;11;9;10;182;32;3;15;1;2;0;4;32;3;11;217;1;9;3;7;9;0;16;40;46
