lunedi;martedi;mercoledi;giovedi;venerdi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Sesto ed Uniti, Roma, 4;Pizzighettone, Giuseppe Garibaldi, 18;Grumello Cremonese ed Uniti, Roma, 2;Crema, Civerchi, 9;Castelverde, Ubaldo Ferrari, 15
Crema, Civerchi, 9;Casalpusterlengo, Pusterla 7;Pizzighettone, Giuseppe Garibaldi, 18;Cremona, Sesto 39;Cremona, Felice Cavallotti, 2
Ripalta Cremasca, Roma, 5;Montodine,  XXV Aprile, 10;Annicco, Giuseppe Garibaldi, 6;Ostiano, Mazzini, 1;Cremona, Ugolani Dati, 4
Capergnanica, XI febbraio, 7;Castelleone, Roma, 67;Soresina, Giacomo Matteotti, 6;Ostiano, Mazzini, 1;Bonemerse, Roma, 25
Bagnolo Cremasco, Roma, 3;Crema, Civerchi, 9;Casalbuttano ed Uniti, Jacini, 23;;Cremona, Palosca n. 2
Spino d'Adda, Circonvallazione, 13;Persico Dosimo, Albert ,7;Paderno Ponchielli, Municipio, 3;;Sospiro, Tosi
Rivolta d'Adda, Stefano Renzi, 5;Cremona, Ugolani Dati, 4;Crema, Civerchi, 9;;Cingia de' Botti, Giuseppina, 79
Agnadello, Marconi, 6;Manerbio, INSURREZIONE NAZIONALE;Offanengo, Clavelli Martini, 5;;Scandolara Ravara, Italia
Pandino, Castello, 15;Gadesco-Pieve Delmona, Giovanni Lonati 9;Izano, Gerardo da Izano, 4/C;;Solarolo Rainerio, Giuseppina, 81
Madignano, Portici, 4;Vescovato, Roma, 44;Romanengo, Guaiarini, 14;;Gussola, Comaschi, 1
Ricengo, Guglielmo Marconi;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Soncino, Dante Alighieri, 23;;Casalmaggiore, Guglielmo Marconi, 8
Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Camisano, Trieste, 57;;Viadana, A. Manzoni, 2
Soncino, Dante Alighieri, 23;Ostiano, Mazzini, 1;Casale Cremasco-Vidolasco, Roma, 56;;San Giovanni in Croce, Feudatari, 25 A
Fiesco, Giuseppe Parini, 10;;Sergnano, IV Novembre,  10;;Pescarolo ed Uniti, Giuseppe Mazzini, 73
Trigolo, Roma, 26;;Capralba, Piave, 2;;Ostiano, Mazzini, 1
Castelleone, Roma, 67;;Vailate, Dante Alighieri, 7;;
Casalpusterlengo, Pusterla 7;;Casaletto Vaprio, Maggiore, 7;;
Pizzighettone, Giuseppe Garibaldi, 18;;Pandino, Castello, 15;;
San Bassano, Mons. Frosi;;Palazzo Pignano, Marco Polo, 31;;
Soresina, Giacomo Matteotti, 6;;Vaiano Cremasco,  Gloriosi Caduti, 3;;
Manerbio, INSURREZIONE NAZIONALE;;Monte Cremasco, Roma, 12;;
Vescovato, Roma, 44;;Dovera, Oldrini 2;;
Grontardo, Roma, 16;;Spino d'Adda, Circonvallazione, 13;;
Ostiano, Mazzini, 1;;Trescore Cremasco, Vittorio Veneto, 1;;
;;Pianengo, Nenni;;
;;Rivolta d'Adda, Stefano Renzi, 5;;
;;San Giovanni in Croce, Feudatari, 25 A;;
;;Piadena, Platina, 40;;
;;Isola Dovarese, Giacomo Matteotti, 1;;
;;Ostiano, Mazzini, 1;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
