lunedi;martedi;mercoledi;giovedi;venerdi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Sesto ed Uniti, Roma, 4;Cremona, Ugolani Dati, 4;Castelverde, Ubaldo Ferrari, 15;Cremona, Sesto 39;Crema, Civerchi, 9
Grumello Cremonese ed Uniti, Roma, 2;Persico Dosimo, Albert ,7;Casalbuttano ed Uniti, Jacini, 23;Cremona, Ugolani Dati, 4;Capergnanica, XI febbraio, 7
Pizzighettone, Giuseppe Garibaldi, 18;Vescovato, Roma, 44;Paderno Ponchielli, Municipio, 3;Persico Dosimo, Albert ,7;Bagnolo Cremasco, Roma, 3
Montodine,  XXV Aprile, 10;Ostiano, Mazzini, 1;Soresina, Giacomo Matteotti, 6;Grontardo, Roma, 16;Vaiano Cremasco,  Gloriosi Caduti, 3
Castelleone, Roma, 67;Manerbio, INSURREZIONE NAZIONALE;Fiesco, Giuseppe Parini, 10;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Monte Cremasco, Roma, 12
Soresina, Giacomo Matteotti, 6;Offanengo, Clavelli Martini, 5;Romanengo, Guaiarini, 14;Isola Dovarese, Giacomo Matteotti, 1;Dovera, Oldrini 2
Trigolo, Roma, 26;Crema, Civerchi, 9;Soncino, Dante Alighieri, 23;Martignana di Po, Libertà, 64;Pandino, Castello, 15
Soncino, Dante Alighieri, 23;Pianengo, Nenni;Pandino, Castello, 15;San Giovanni in Croce, Feudatari, 25 A;Agnadello, Marconi, 6
Ricengo, Guglielmo Marconi;Vailate, Dante Alighieri, 7;Bagnolo Cremasco, Roma, 3;Cingia de' Botti, Giuseppina, 79;Rivolta d'Adda, Stefano Renzi, 5
Casale Cremasco;Casalpusterlengo, Pusterla 7;Ostiano, Mazzini, 1;Pizzighettone, Giuseppe Garibaldi, 18;Spino d'Adda, Circonvallazione, 13
Camisano, Trieste, 57;Solarolo Rainerio, Giuseppina, 81;;Casalpusterlengo, Pusterla 7;Casaletto Vaprio, Maggiore, 7
Sergnano, IV Novembre,  10;Gussola, Comaschi, 1;;Crema, Civerchi, 9;Trescore Cremasco, Vittorio Veneto, 1
Capralba, Piave, 2;Viadana, A. Manzoni, 2;;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1
Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;;Ostiano, Mazzini, 1;
Ostiano, Mazzini, 1;Ostiano, Mazzini, 1;;;
