lunedi;martedi;mercoledi;giovedi;venerdi
Cremona, sesto 39;Cremona, sesto 39;Cremona, sesto 39;Cremona, sesto 39;Cremona, sesto 39
Sesto ed Uniti, Roma, 4;Cremona, Ugolani Dati, 4;Castelverde, Ubaldo Ferrari, 15;Cremona, Sesto 39;Crema, Civerchi, 9
Grumello Cremonese ed Uniti, Roma, 2;Cremona, Felice Cavallotti, 2;Casalbuttano ed Uniti, Jacini, 23;Cremona, Ugolani Dati, 4;Capergnanica, XI febbraio, 7
Pizzighettone, Giuseppe Garibaldi, 18;Bonemerse, Roma, 25;Annicco, Giuseppe Garibaldi, 6;Cremona, Ugolani Dati, 4;Bagnolo Cremasco, Roma, 3
Montodine,  XXV Aprile, 10;Sospiro, Tosi;Paderno Ponchielli, Municipio, 3;Persico Dosimo, Albert ,7;Vaiano Cremasco,  Gloriosi Caduti, 3
Castelleone, Roma, 67;Gadesco-Pieve Delmona, Giovanni Lonati 9;Soresina, Giacomo Matteotti, 6;Gadesco-Pieve Delmona, Giovanni Lonati 9;Monte Cremasco, Roma, 12
Soresina, Giacomo Matteotti, 6;Persico Dosimo, Albert ,7;Castelleone, Roma, 67;Vescovato, Roma, 44;Dovera, Oldrini 2
Trigolo, Roma, 26;Vescovato, Roma, 44;Fiesco, Giuseppe Parini, 10;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Pandino, Castello, 15
Soncino, Dante Alighieri, 23;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Romanengo, Guaiarini, 14;Grontardo, Roma, 16;Agnadello, Marconi, 6
Ricengo, Guglielmo Marconi;Ostiano, Mazzini, 1;Soncino, Dante Alighieri, 23;Ostiano, Mazzini, 1;Rivolta d'Adda, Stefano Renzi, 5
Casale Cremasco-Vidolasco, Roma, 56;Piadena, Platina, 40;Madignano, Portici, 4;Isola Dovarese, Giacomo Matteotti, 1;Spino d'Adda, Circonvallazione, 13
Sergnano, IV Novembre,  10;San Giovanni in Croce, Feudatari, 25 A;Crema, Civerchi, 9;Piadena, Platina, 40;Trescore Cremasco, Vittorio Veneto, 1
Camisano, Trieste, 57;Solarolo Rainerio, Giuseppina, 81;Palazzo Pignano, Marco Polo, 31;San Giovanni in Croce, Feudatari, 25 A;Casaletto Vaprio, Maggiore, 7
Capralba, Piave, 2;Scandolara Ravara, Italia;Pandino, Castello, 15;Solarolo Rainerio, Giuseppina, 81;Ostiano, Mazzini, 1
Ripalta Cremasca, Roma, 5;Gussola, Comaschi, 1;Spino d'Adda, Circonvallazione, 13;Cingia de' Botti, Giuseppina, 79;
Ostiano, Mazzini, 1;Casalmaggiore, Guglielmo Marconi, 8;Rivolta d'Adda, Stefano Renzi, 5;Martignana di Po, Libertà, 64;
;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Ostiano, Mazzini, 1;Casalmaggiore, Guglielmo Marconi, 8;
;Viadana, A. Manzoni, 2;;Ostiano, Mazzini, 1;
;Ostiano, Mazzini, 1;;;
