lunedi;martedi;mercoledi;giovedi;venerdi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Casalpusterlengo, Pusterla 7;Cremona, Felice Cavallotti, 2;Casalbuttano ed Uniti, Jacini, 23;Cremona, Sesto 39;Annicco, Giuseppe Garibaldi, 6
Pizzighettone, Giuseppe Garibaldi, 18;Bonemerse, Roma, 25;Castelverde, Ubaldo Ferrari, 15;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3
Sesto ed Uniti, Roma, 4;Cremona, Palosca n. 2;Crema, Civerchi, 9;Ostiano, Mazzini, 1;Castelleone, Roma, 67
Grumello Cremonese ed Uniti, Roma, 2;Cremona, Ugolani Dati, 4;Capralba, Piave, 2;;Montodine,  XXV Aprile, 10
San Bassano, Mons. Frosi;Manerbio, INSURREZIONE NAZIONALE;Pandino, Castello, 15;;Ripalta Cremasca, Roma, 5
Castelleone, Roma, 67;Ostiano, Mazzini, 1;Dovera, Oldrini 2;;Crema, Civerchi, 9
Madignano, Portici, 4;Ostiano, Mazzini, 1;Spino d'Adda, Circonvallazione, 13;;Casaletto Vaprio, Maggiore, 7
Izano, Gerardo da Izano, 4/C;;Rivolta d'Adda, Stefano Renzi, 5;;Trescore Cremasco, Vittorio Veneto, 1
Trigolo, Roma, 26;;Agnadello, Marconi, 6;;Palazzo Pignano, Marco Polo, 31
Fiesco, Giuseppe Parini, 10;;Vailate, Dante Alighieri, 7;;Bagnolo Cremasco, Roma, 3
Soncino, Dante Alighieri, 23;;Pianengo, Nenni;;Monte Cremasco, Roma, 12
Offanengo, Clavelli Martini, 5;;Camisano, Trieste, 57;;Vaiano Cremasco,  Gloriosi Caduti, 3
Crema, Civerchi, 9;;Casale Cremasco-Vidolasco, Roma, 56;;Spino d'Adda, Circonvallazione, 13
Soresina, Giacomo Matteotti, 6;;Sergnano, IV Novembre,  10;;Rivolta d'Adda, Stefano Renzi, 5
San Giovanni in Croce, Feudatari, 25 A;;Ricengo, Guglielmo Marconi;;Pandino, Castello, 15
Rivarolo del Re ed Uniti, Giovanni XXIII, 5;;Offanengo, Clavelli Martini, 5;;Capergnanica, XI febbraio, 7
Casalmaggiore, Guglielmo Marconi, 8;;Soncino, Dante Alighieri, 23;;Pescarolo ed Uniti, Giuseppe Mazzini, 73
Cingia de' Botti, Giuseppina, 79;;Romanengo, Guaiarini, 14;;Vescovato, Roma, 44
Scandolara Ravara, Italia;;Grontardo, Roma, 16;;Ostiano, Mazzini, 1
Piadena, Platina, 40;;Persico Dosimo, Albert ,7;;
Isola Dovarese, Giacomo Matteotti, 1;;Manerbio, INSURREZIONE NAZIONALE;;
Pescarolo ed Uniti, Giuseppe Mazzini, 73;;Gadesco-Pieve Delmona, Giovanni Lonati 9;;
Ostiano, Mazzini, 1;;Vescovato, Roma, 44;;
;;San Giovanni in Croce, Feudatari, 25 A;;
;;Piadena, Platina, 40;;
;;Ostiano, Mazzini, 1;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
