;0
Agnadello, Marconi, 6;1164
Annicco, Giuseppe Garibaldi, 6;102
Bagnolo Cremasco, Roma, 3;4328
Bonemerse, Roma, 25;337
Camisano, Trieste, 57;41
Capergnanica, XI febbraio, 7;670
Capralba, Piave, 2;1600
Casalbuttano ed Uniti, Jacini, 23;228
Casale Cremasco-Vidolasco, Roma, 56;121
Casalmaggiore, Guglielmo Marconi, 8;5566
Casalpusterlengo, Pusterla 7;0
Castelleone, Roma, 67;7518
Castelverde, Ubaldo Ferrari, 15;509
Cingia de' Botti, Giuseppina, 79;785
Crema, Civerchi, 9;8453
Cremona, Ugolani Dati, 4;1962
Dovera, Oldrini 2;1109
Fiesco, Giuseppe Parini, 10;560
Gadesco-Pieve Delmona, Giovanni Lonati 9;2128
Grontardo, Roma, 16;755
Grumello Cremonese ed Uniti, Roma, 2;236
Gussola, Comaschi, 1;674
Isola Dovarese, Giacomo Matteotti, 1;520
Izano, Gerardo da Izano, 4/C;258
Madignano, Portici, 4;1455
Martignana di Po, Libertà, 64;1001
Monte Cremasco, Roma, 12;559
Montodine,  XXV Aprile, 10;309
Offanengo, Clavelli Martini, 5;6874
Ostiano, Mazzini, 1;540
Paderno Ponchielli, Municipio, 3;91
Palazzo Pignano, Marco Polo, 31;1607
Pandino, Castello, 15;1650
Persico Dosimo, Albert ,7;653
Pescarolo ed Uniti, Giuseppe Mazzini, 73;1672
Piadena, Platina, 40;3410
Pianengo, Nenni;1218
Pizzighettone, Giuseppe Garibaldi, 18;1843
Manerbio, INSURREZIONE NAZIONALE;57912
Viadana, A. Manzoni, 2;0
Ricengo, Guglielmo Marconi;783
Ripalta Cremasca, Roma, 5;524
Rivarolo del Re ed Uniti, Giovanni XXIII, 5;0
Rivolta d'Adda, Stefano Renzi, 5;8103
Romanengo, Guaiarini, 14;841
San Bassano, Mons. Frosi;18
San Giovanni in Croce, Feudatari, 25 A;1889
Scandolara Ravara, Italia;0
Sergnano, IV Novembre,  10;4265
Sesto ed Uniti, Roma, 4;167
Solarolo Rainerio, Giuseppina, 81;2062
Soncino, Dante Alighieri, 23;1707
Soresina, Giacomo Matteotti, 6;1647
Sospiro, Tosi;565
Spino d'Adda, Circonvallazione, 13;2786
Trescore Cremasco, Vittorio Veneto, 1;974
Trigolo, Roma, 26;452
Vaiano Cremasco,  Gloriosi Caduti, 3;560
Vailate, Dante Alighieri, 7;822
Vescovato, Roma, 44;1703
Cremona, Felice Cavallotti, 2;33
Cremona, Palosca n. 2;15
Casaletto Vaprio, Maggiore, 7;214
Cremona, Sesto 39;454
